middleschool,variable.x,pct,pctse
Clarke,volunteer_year0,0.349738441,0.028903734
Coile,volunteer_year0,0.477590461,0.029499289
Hilsman,volunteer_year0,0.40945387,0.027173701
BHL,volunteer_year1,0.574218337,0.029708528
Clarke,volunteer_year1,0.650261559,0.028903734
Coile,volunteer_year1,0.522409539,0.029499289
Hilsman,volunteer_year1,0.59054613,0.027173701
BHL,meeting_year0,0.610159932,0.03068853
Clarke,meeting_year0,0.556620831,0.031593127
Coile,meeting_year0,0.674340815,0.028897454
Hilsman,meeting_year0,0.635204496,0.027227327
BHL,meeting_year1,0.389840068,0.03068853
Clarke,meeting_year1,0.443379169,0.031593127
Coile,meeting_year1,0.325659185,0.028897454
Hilsman,meeting_year1,0.364795504,0.027227327
BHL,donate_year0,0.184980905,0.023301406
Clarke,donate_year0,0.137288787,0.019770991
Coile,donate_year0,0.271175891,0.026417066
Hilsman,donate_year0,0.204941077,0.021802448
BHL,donate_year1,0.815019095,0.023301406
Clarke,donate_year1,0.862711213,0.019770991
Coile,donate_year1,0.728824109,0.026417066
Hilsman,donate_year1,0.795058923,0.021802448
BHL,socialgather0,0.12797423,0.02035318
Clarke,socialgather0,0.079299624,0.01400881
Coile,socialgather0,0.12406491,0.017245794
Hilsman,socialgather0,0.10359798,0.016536145
BHL,socialgather1,0.09669271,0.018310758
Clarke,socialgather1,0.065865702,0.014852099
Coile,socialgather1,0.069503902,0.014797445
Hilsman,socialgather1,0.075593442,0.014241201
BHL,socialgather2,0.210213263,0.025292247
Clarke,socialgather2,0.194306405,0.025005292
Coile,socialgather2,0.192174028,0.022163435
Hilsman,socialgather2,0.20199024,0.022248256
BHL,socialgather3,0.176946403,0.023467206
Clarke,socialgather3,0.239465771,0.026900413
Coile,socialgather3,0.207268711,0.024907265
Hilsman,socialgather3,0.168363792,0.020481493
BHL,socialgather4,0.260117613,0.027146846
Clarke,socialgather4,0.304876456,0.028382518
Coile,socialgather4,0.260159791,0.026706781
Hilsman,socialgather4,0.276563401,0.024902167
BHL,socialgather5,0.128055781,0.020715302
Clarke,socialgather5,0.116186042,0.018079808
Coile,socialgather5,0.146828658,0.021293832
