middleschool,variable.x,est,se
Hilsman,internetsource1,1014.9208565,183.13260636603002
BHLyons,internetsource2,1549.174834,193.91364229931722
Clarke,internetsource2,2462.171041,341.01335845716005
Coile,internetsource2,757.7945356,120.3674511896624
Hilsman,internetsource2,2088.0234654,259.4965580037287
BHLyons,internetsource3,171.916856,66.85496087963304
Clarke,internetsource3,156.2072526,74.53845006210702
Coile,internetsource3,93.50500240000001,46.044381515655274
Hilsman,internetsource3,704.8963583,164.52728599719748
BHLyons,internetsource4,4715.728056,237.6530191809416
Clarke,internetsource4,9740.592374400001,403.0247729530777
Coile,internetsource4,3355.526104,162.40294549319526
Hilsman,internetsource4,8071.9745247,350.6820005562834
BHLyons,internetsource5,260.591842,80.34074432151708
Clarke,internetsource5,376.7207778,123.8709958794321
Coile,internetsource5,304.5507186,72.08077904505045
Hilsman,internetsource5,419.1678963,129.2883160382206
BHLyons,transport1,7588.825656,112.22840368355352
Clarke,transport1,13374.197203,187.67218457678536
Coile,transport1,5237.6842242,108.26953389625783
Hilsman,transport1,12244.9156152,201.6236535518396
BHLyons,transport2,56.844266,35.039633416277496
Clarke,transport2,282.75108539999997,74.24642399798498
Coile,transport2,169.9795032,46.4975453502427
Hilsman,transport2,435.5819867,120.78588095621487
BHLyons,transport3,48.844666,34.93075470432579
Clarke,transport3,150.208176,68.64844736776571
Coile,transport3,105.474738,52.40182119442697
Hilsman,transport3,207.4250121,92.86737344056458
BHLyons,transport4,157.483326,66.60404597144014
Clarke,transport4,339.6308478,104.05484700523759
Coile,transport4,136.7184872,57.36631605448571
Hilsman,transport4,130.6351349,64.96809114729878
BHLyons,transport5,2.2856,1.5992396172348067
Clarke,transport5,23.9592,16.764307769186306
Coile,transport5,23.3453338,20.193650562694934
Hilsman,transport5,76.8416142,52.01110273761623
BHLyons,transport9,0,0
Clarke,transport9,0,0
Coile,transport9,37.931033799999994,10.385079798755442
Hilsman,transport9,0,0
BHLyons,moved0,5803.542512,217.27591100376665
Clarke,moved0,10539.4069106,386.41235603077797
Coile,moved0,3398.5283974,173.21544258387493
Hilsman,moved0,8897.3732057,345.79427139898706
BHLyons,moved1,1299.4849199999999,176.76828242767442
Clarke,moved1,2615.4033658000003,328.0290042453303
Coile,moved1,1516.1892382,153.27811484236236
Hilsman,moved1,2681.8918714,288.9360578434932
BHLyons,moved2,403.89316099999996,103.95307161863803
Clarke,moved2,738.6569756,179.1631730974566
Coile,moved2,416.5745058,92.26576576524398
Hilsman,moved2,1079.6707581,201.87427922189036
BHLyons,moved3,300.774896,90.71637171812077
Clarke,moved3,363.127259,142.73751308680772
Coile,moved3,384.6749624,93.54906224183304
Hilsman,moved3,386.1888617,121.30633546404307
BHLyons,acc_child0,1198.362942,164.01417664652067
Clarke,acc_child0,2556.2597162,309.84813973467527
Coile,acc_child0,1263.226456,146.03073206524923
Hilsman,acc_child0,2821.1230636,293.1629229811851
BHLyons,acc_child1,1877.778086,204.3763530981714
Clarke,acc_child1,3925.3576014,389.89366428791294
